analysis_id,8490d5435t39e5v
pvalue,0.3033273
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_name,Click-evoked ABR threshold
gene_accession_id,MGI:1914071
parameter_id,IMPC_ABR_002_001
gene_symbol,Bcs1l
