parameter_name,Lean/Body weight
mouse_life_stage,E12.5
gene_symbol,Mecom
pvalue,0.227534
gene_accession_id,MGI:95457
mouse_strain,C57BL
analysis_id,93tu9424ldb3ku7
parameter_id,IMPC_DXA_008_001
