analysis_id,2fm10qc907t1cv2
parameter_id,IMPC_OFD_009_001
mouse_strain,C57BL
mouse_life_stage,E12.5
pvalue,0.05325293
gene_accession_id,MGI:97838
parameter_name,Whole arena average speed
gene_symbol,Eprs1
