parameter_name,eye size
gene_accession_id,MGI:2446274
pvalue,0.6533248
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
analysis_id,5x4j8yoae17k96q
parameter_id,ESLIM_001_001_117
gene_symbol,Frmpd1
