mouse_strain,C57BL
gene_accession_id,MGI:88461
parameter_name,Snout size
pvalue,0.3355549
mouse_life_stage,Early adult
gene_symbol,Col6a3
analysis_id,0xq1xy1p33692ov
parameter_id,IMPC_CSD_028_001
