gene_symbol,Mapkap1
mouse_life_stage,E12.5
gene_accession_id,MGI:2444554
parameter_id,M-G-P_009_001_003
mouse_strain,C57BL
parameter_name,Body weight
pvalue,0.9931548
analysis_id,s48vp991xj0fh28
