parameter_name,Shape of vertebrae
mouse_strain,C57BL
gene_symbol,Frmpd1
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
parameter_id,IMPC_XRY_018_001
pvalue,0.3250279
analysis_id,4hx8qni9id3z160
