analysis_id,635j7s577od909c
pvalue,0.8310885
mouse_strain,C57BL
parameter_id,IMPC_EYE_008_001
gene_symbol,Orc2
gene_accession_id,MGI:1328306
mouse_life_stage,E9.5
parameter_name,Corneal opacity
