analysis_id,dnx47xrex646zsa
gene_symbol,Ufc1
parameter_id,IMPC_CBC_001_001
gene_accession_id,MGI:1913405
parameter_name,Sodium
pvalue,0.08915997
mouse_strain,C57BL
mouse_life_stage,Early adult
