analysis_id,18rf495j2aj46y2
gene_symbol,Ola1
parameter_name,Tibia
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7765299
parameter_id,IMPC_XRY_025_001
gene_accession_id,MGI:1914309
