gene_symbol,Ivd
pvalue,0.9412963
mouse_strain,C57BL
gene_accession_id,MGI:1929242
analysis_id,0407f524a76d07j
mouse_life_stage,Early adult
parameter_name,Periphery distance travelled
parameter_id,ESLIM_007_001_006
