analysis_id,pllbuy243004740
parameter_name,Resting Treg cells - % of Treg
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.4926932
gene_accession_id,MGI:2140475
parameter_id,MGP_IMM_011_001
gene_symbol,AU040320
