parameter_id,M-G-P_005_001_001
mouse_strain,C57BL
gene_accession_id,MGI:1338032
parameter_name,Weight
gene_symbol,Sema6c
mouse_life_stage,Early adult
pvalue,0.6656773
analysis_id,6h28a883d8l37a2
