analysis_id,ypwxt0om5l913mf
gene_accession_id,MGI:95576
gene_symbol,Fpgs
parameter_id,IMPC_ABR_012_001
pvalue,0.3213552
parameter_name,30kHz-evoked ABR Threshold
mouse_life_stage,Early adult
mouse_strain,C57BL
