parameter_name,Placenta Morphology
parameter_id,IMPC_GPO_002_001
gene_accession_id,MGI:1336200
mouse_strain,C57BL
pvalue,0.7828646
gene_symbol,Hpca
mouse_life_stage,Late adult
analysis_id,ykffs02z3f6uhq7
