parameter_name,eye size
gene_symbol,Fpgs
gene_accession_id,MGI:95576
parameter_id,ESLIM_001_001_117
mouse_life_stage,Early adult
analysis_id,w5wy3cwjk3e3c53
mouse_strain,C57BL
pvalue,0.9573806
