analysis_id,h7pcw2q93r3t4o4
gene_accession_id,MGI:1919935
mouse_life_stage,Early adult
parameter_id,ESLIM_014_001_008
mouse_strain,C57BL
gene_symbol,Dnajc6
pvalue,0.777977
parameter_name,Cornea vascularisation
