analysis_id,f2v6n84ly760am5
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Startle Response
parameter_id,M-G-P_008_001_013
pvalue,0.7967311
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
