analysis_id,807qzcry18l385n
pvalue,0.08169976
mouse_strain,C57BL
parameter_id,IMPC_ABR_012_001
parameter_name,30kHz-evoked ABR Threshold
gene_symbol,Ap5s1
mouse_life_stage,Early adult
gene_accession_id,MGI:1916846
