analysis_id,spt0m1723n37q17
mouse_life_stage,Early adult
parameter_name,Effector Treg cells - % of Treg
gene_accession_id,MGI:2443129
mouse_strain,C57BL
gene_symbol,Golm2
parameter_id,MGP_MLN_009_001
pvalue,0.9978936
