analysis_id,s89c0hwd7d32f3g
gene_symbol,Psmd14
mouse_life_stage,Early adult
pvalue,0.5513456
parameter_name,Urea (Blood Urea Nitrogen - BUN)
gene_accession_id,MGI:1913284
mouse_strain,C57BL
parameter_id,IMPC_CBC_004_001
