analysis_id,2zj0h0695q99015
parameter_name,Breath rate during sleep mean
gene_symbol,BPIFA3
pvalue,0.4556662
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,JAX_SLW_013_001
gene_accession_id,MGI:1920638
