analysis_id,s302275q17cae29
mouse_life_stage,Early adult
gene_symbol,Bach2
parameter_name,Ulna
pvalue,0.6531806
mouse_strain,C54BL
parameter_id,IMPC_XRY_023_001
gene_accession_id,MGI:894679
