analysis_id,7fuv903el567r29
parameter_name,T cells - % of CD45+
pvalue,0.4711493
parameter_id,MGP_BMI_019_001
mouse_life_stage,Early adult
gene_symbol,Cd52
gene_accession_id,MGI:1346088
mouse_strain,C57BL
