analysis_id,8vh6794q4381p50
gene_symbol,Secisbp2l
pvalue,0.3933531
gene_accession_id,MGI:1917604
mouse_life_stage,Early adult
parameter_id,TCPLA_XRY_033_001
parameter_name,Tibia length
mouse_strain,C57BL
