gene_symbol,Rnf114
parameter_name,Lens Opacity
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_017_001
pvalue,0.6399042
gene_accession_id,MGI:1933159
analysis_id,y72c493txbq23j6
