analysis_id,4w3k1d080684o26
mouse_life_stage,Early adult
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
mouse_strain,C57BL
gene_accession_id,MGI:96757
parameter_id,MGP_BMI_006_001
pvalue,0.5992237
gene_symbol,Lcn2
