parameter_name,Embryo turning
analysis_id,0131lhm10m6w926
gene_accession_id,MGI:1336200
mouse_strain,C57BL
pvalue,0.7811084
gene_symbol,Hpca
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_011_001
