parameter_id,UCD_OWT_003_001
parameter_name,Spleen weight
mouse_life_stage,Early adult
pvalue,0.3333489
gene_symbol,Zcchc2
mouse_strain,C57BL
analysis_id,8zgle88k6n5ye91
gene_accession_id,MGI:2444114
