analysis_id,nb8qctd1euga8x7
gene_accession_id,MGI:88461
pvalue,0.5406803
parameter_id,CCP_LFO_001_001
parameter_name,Weight
gene_symbol,Col6a3
mouse_life_stage,Early adult
mouse_strain,C57BL
