analysis_id,bsz7c243k7pl27h
gene_accession_id,MGI:1917810
gene_symbol,Wars2
mouse_life_stage,E9.5
pvalue,0.2339555
parameter_name,Total NK cells - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_IMM_033_001
