parameter_name,Snout morphology
pvalue,0.7361472
mouse_strain,C57BL
parameter_id,MGP_CSD_066_001
gene_symbol,Tnfsf8
analysis_id,32627c583e5tl85
mouse_life_stage,Early adult
gene_accession_id,MGI:88328
