parameter_name,B cell number
mouse_strain,C57BL
gene_accession_id,MGI:1919137
gene_symbol,Ppm1j
parameter_id,MGP_PBI_034_001
analysis_id,sa0ctri98lat297
pvalue,0.2716494
mouse_life_stage,Early adult
