parameter_id,JAX_LDT_002_001
pvalue,0.9699938
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,xm1912888z0720b
gene_symbol,Rab3gap2
parameter_name,Light side time spent
gene_accession_id,MGI:1916043
