analysis_id,341w0c9g6r4wy51
gene_accession_id,MGI:1338022
parameter_name,Hindpaw - size
mouse_strain,C57BL
pvalue,0.8491207
gene_symbol,Opn3
parameter_id,JAXLA_CSD_041_002
mouse_life_stage,Early adult
