parameter_name,End-Systolic Diameter
pvalue,0.7955784
gene_symbol,Hspa5
mouse_life_stage,Early adult
gene_accession_id,MGI:95835
parameter_id,IMPC_ECH_001_001
analysis_id,1wgk4reayt5fjt2
mouse_strain,C57BL
