parameter_name,Corneal vascularization
pvalue,0.7646196
parameter_id,IMPC_EYE_009_001
mouse_strain,C57BL
gene_accession_id,MGI:107414
gene_symbol,Tnfsf10
mouse_life_stage,Early adult
analysis_id,e0gwtv632g9f8p5
