analysis_id,01zs75o66qeqjn2
mouse_life_stage,Early adult
pvalue,0.07156569
gene_symbol,Tnni1
parameter_id,IMPC_HWT_008_001
gene_accession_id,MGI:105073
mouse_strain,C57BL
parameter_name,Heart weight
