analysis_id,p7ggb1p527n70tk
parameter_id,HMGULA_SHI_009_001
gene_accession_id,MGI:1914583
mouse_strain,C57BL
gene_symbol,Stk35
mouse_life_stage,Early adult
parameter_name,Startle response
pvalue,0.3004211
