gene_symbol,Rap2b
pvalue,0.3153539
parameter_id,IMPC_EYE_026_001
analysis_id,4l2w9tjc302f092
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
mouse_strain,C57BL
parameter_name,Retinal Blood Vessels Pattern
