parameter_name,Percent time in dark
mouse_strain,C57BL
pvalue,0.1339409
analysis_id,05wg776q4sbhp18
parameter_id,JAX_LDT_008_001
mouse_life_stage,Late adult
gene_accession_id,MGI:2140475
gene_symbol,AU040320
