gene_symbol,Mov10
parameter_id,HRWLLA_OFD_020_001
pvalue,0.7284525
mouse_strain,C57BL
gene_accession_id,MGI:97054
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
analysis_id,rm5298470gi1159
