parameter_id,IMPC_FEA_003_001
pvalue,0.2204268
gene_accession_id,MGI:3616086
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Kcng1
parameter_name,Conditioning Baseline % Freezing Time
analysis_id,41h83q32t2m6lfa
