mouse_strain,B6J
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
pvalue,0.7493016
analysis_id,ylp29gwq966u155
gene_symbol,Nr0b2
parameter_id,IMPC_ECH_005_001
parameter_name,Fractional Shortening
