gene_symbol,Sema6c
mouse_life_stage,Early adult
pvalue,0.2164081
gene_accession_id,MGI:1338032
analysis_id,l150fmg401er189
mouse_strain,C57BL
parameter_id,MGP_MLN_006_001
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
