parameter_name,B cell number
analysis_id,891xe8lc7vn4ph9
parameter_id,MGP_PBI_034_001
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:1934811
pvalue,0.6724881
gene_symbol,Nucks1
