parameter_name,% Freezing duration pre-cue-2
gene_accession_id,MGI:1916846
mouse_life_stage,Early adult
pvalue,0.9678002
parameter_id,ICS_FEA_019_001
gene_symbol,Ap5s1
analysis_id,71dh73954d4s1b9
mouse_strain,C57BL
