analysis_id,14ee59hbr590671
mouse_life_stage,Early adult
gene_symbol,Frmpd1
mouse_strain,C57BL
gene_accession_id,MGI:2446274
pvalue,0.7121169
parameter_name,Body Weight
parameter_id,M-G-P_020_001_001
