gene_symbol,Rab22a
pvalue,0.3727222
gene_accession_id,MGI:105072
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_089_001
analysis_id,922uy0n84jr5855
parameter_name,KLRG1+ gd T cells - % of CD45+
