analysis_id,yt2k59q9m66wh8n
mouse_strain,C57BL
gene_symbol,Ahcy
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_life_stage,E12.5
parameter_id,MGP_IMM_079_001
gene_accession_id,MGI:87968
pvalue,0.2715565
