analysis_id,64x114g603x5bj0
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
pvalue,0.4411516
parameter_id,IMPC_CBC_001_001
parameter_name,Sodium
gene_symbol,Alkbh3
mouse_strain,C57BL
