gene_symbol,Car13
parameter_id,IMPC_CSD_047_001
parameter_name,Hindlimb digit - size
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,1wg5u90mmh0ry86
pvalue,0.05434011
