analysis_id,18682xfeo510p44
parameter_id,MGP_MLN_014_001
pvalue,0.5294495
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Bpifa3
parameter_name,Resting CD8+ T cells - % of CD8+
gene_accession_id,MGI:1920638
