gene_symbol,Sike1
parameter_id,MGP_IMM_073_001
mouse_strain,C57BL
gene_accession_id,MGI:1913891
analysis_id,2457ezfup3s07zb
pvalue,0.3029136
mouse_life_stage,Early adult
parameter_name,Effector CD4+ T helper cells - % of CD45+
