parameter_name,Light side time spent
mouse_life_stage,Early adult
analysis_id,p5wu5l11598onyx
mouse_strain,C57BL
parameter_id,JAX_LDT_002_001
pvalue,0.2455587
gene_symbol,Gfi1b
gene_accession_id,MGI:1276578
