analysis_id,sq9l2i9frl5lbad
parameter_name,Percentage center time
mouse_strain,C57BL
parameter_id,JAX_OFD_022_001
pvalue,0.3909059
gene_accession_id,MGI:1914256
mouse_life_stage,Early adult
gene_symbol,Cisd2
