analysis_id,ar9vrihdqa3500h
gene_symbol,AU040320
pvalue,0.6805131
parameter_name,Cleft palate
parameter_id,IMPC_GEP_076_001
mouse_strain,C57BL
gene_accession_id,MGI:2140475
mouse_life_stage,Late adult
