analysis_id,x06w2lpd9vq7f5k
gene_symbol,Slc30a4
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1345282
mouse_strain,C57BL
parameter_id,MGP_IMM_026_001
pvalue,0.8031344
