parameter_name,Fasted blood glucose concentration
analysis_id,4yqiq6s799z3gm4
gene_accession_id,MGI:2673000
parameter_id,IMPC_IPG_010_001
mouse_life_stage,Early adult
gene_symbol,Trim46
mouse_strain,C54BL
pvalue,0.08659069
