analysis_id,hi5fdk519w2d48a
pvalue,0.8892798
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAXLA_DXA_007_001
gene_symbol,Tubb4b
parameter_name,BMC/Body weight
