gene_symbol,Mov10
parameter_id,HMGULA_CBC_017_001
mouse_strain,C57BL
gene_accession_id,MGI:97054
parameter_name,Triglycerides
pvalue,0.246546
mouse_life_stage,Early adult
analysis_id,nz18oyiox3t1u53
