parameter_name,Right kidney weight
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_id,IMPC_OWT_004_001
gene_accession_id,MGI:1913483
pvalue,0.4570096
analysis_id,4f731102767p0za
gene_symbol,Dmap1
