analysis_id,s33s6bwe05x6022
pvalue,0.6540419
gene_accession_id,MGI:3026886
parameter_id,MGP_IMM_070_001
mouse_strain,C57BL
parameter_name,Total ab T cells - % of CD45+
mouse_life_stage,Early adult
gene_symbol,Cdin1
