analysis_id,26h8708s5j96c63
mouse_strain,C57BL
gene_symbol,Lime1
gene_accession_id,MGI:1919949
parameter_name,Cue Baseline % Freezing Time
pvalue,0.559415
mouse_life_stage,Early adult
parameter_id,HRWLLA_FEA_015_001
